PubMed_ID	Year	Title
40811286	2025	Bi-Encoder-Based Approach to Biomedical Document-Level Entity Recognition and
39745733	2025	Neighborhood Topology-Aware Knowledge Graph Learning and Microbial Preference
40057806	2025	Gene expression knowledge graph for patient representation and diabetes
40880396	2025	Using Environmental Mixture Exposure-Triggered Biological Knowledge-Driven
40187181	2025	A systematic review of molecular structures, knowledge graphs, and cold-start
38168218	2025	A comprehensive large scale biomedical knowledge graph for AI powered data driven
40804250	2025	Large language model powered knowledge graph construction for mental health
41657773	2025	GRAYU: graph-based database integrating Ayurvedic formulations, medicinal plants,
41282535	2025	Integrating graph convolutional networks with large language models for
40860546	2025	A hypergraph convolution-based intelligent healthcare platform for aging
41177245	2025	Clinical pathway-aware large language models for reliable and transparent medical
40893436	2025	Quantifying compatibility mechanisms in traditional Chinese medicine with
41464893	2025	ForestFoodKG: A Structured Dataset and Knowledge Graph for Forest Food Taxonomy
41223409	2025	Assessing Data Quality in Heterogeneous Health Care Integration: Simulation Study
39952627	2025	Enhancing clinical data warehousing with provenance data to support longitudinal
39993309	2025	Leveraging Medical Knowledge Graphs Into Large Language Models for Diagnosis
40950582	2025	Unraveling the HIV-malaria interactions: a bibliometric analysis of global
39811326	2025	Bibliometric analysis of laryngeal cancer treatment literature (2003-2023).
39418829	2025	Knowledge-driven multi-graph convolutional network for brain network analysis and
40380154	2025	Federated SPARQL query performance evaluation for exploring disease model mouse:
40764995	2025	eCBT-I dialogue system: a comparative evaluation of large language models and
40966139	2025	KGMAEDDI: Knowledge Graph and Molecular-Graph Masked Autoencoder for Drug-Drug
40298230	2025	Natural language processing in drug discovery: bridging the gap between text and
40194555	2025	Interpretable high-order knowledge graph neural network for predicting synthetic
40426694	2025	A Unified Framework for Alzheimer's Disease Knowledge Graphs: Architectures,
40443033	2025	SeedLLM.Rice: A large language model integrated with rice biological knowledge
40745316	2025	Bind: large-scale biological interaction network discovery through knowledge
40349883	2025	Robust temporal knowledge inference via pathway snapshots with liquid neural
40810826	2025	A multi-view validation framework for LLM-generated knowledge graphs of chronic
40832041	2025	GraphCheck: Breaking Long-Term Text Barriers with Extracted Knowledge
41056421	2025	The role of graph topology in the performance of biomedical Knowledge Graph
40496493	2025	RNA knowledge-graph analysis through homogeneous embedding methods.
40127852	2025	Integrating Mendelian randomization and literature-mined evidence for breast
41212277	2025	From bench to knowledge graph: mapping the global evolution of PD-1/PD-L1
40357433	2025	From knowledge silos to integrated insights: building a cardiovascular medication
40166361	2025	Applied machine learning in intelligent systems: knowledge graph-enhanced
40140273	2025	Knowledge Graph-Based Few-Shot Learning for Label of Medical Imaging Reports.
40865355	2025	Knowledge graph-driven curation of heme-TLR4 interactions in inflammatory
40942913	2025	QAMT: An LLM-Based Framework for Quality-Assured Medical Time-Series Data
41182461	2025	The research landscape and evolutionary trends of robot-assisted orthopedic
41458885	2025	A novel computational analysis integrating social determinants information from
41019254	2025	An ontology-based method for formalizing and encoding patient colonoscopy
41002262	2025	monarchr: an R package for querying biomedical knowledge graphs.
39921707	2025	OpenPVSignal Knowledge Graph: Pharmacovigilance Signal Reports in a
39884058	2025	ExPDrug: Integration of an interpretable neural network and knowledge graph for
40150098	2025	An Ensemble Patient Graph Framework for Predictive Modelling from Electronic
39647635	2025	Unlocking biological insights from differentially expressed genes: Concepts,
40438742	2025	From text to traits: exploring the role of large language models in plant
40898580	2025	Lumbar spondylolysis: A bibliometric analysis and visualization research from
41301129	2025	An Explainable AI Framework for Corneal Imaging Interpretation and Refractive
40463593	2025	Enhancing the performance of neurosurgery medical question-answering systems
41052159	2025	Learning Universal Knowledge Graph Embedding for Predicting Biomedical Pairwise
40144645	2025	Enhanced hierarchical attention networks for predictive interactome analysis of
40580451	2025	KGG: a fully automated workflow for creating disease-specific knowledge graphs.
41253865	2025	Research on the construction and application of retrieval enhanced generation
40635974	2025	TCMKD: From ancient wisdom to modern insights-A comprehensive platform for
41120019	2025	Reimagining ethnopharmacology with generative AI: Towards inclusive, ethical, and
40470052	2025	KGSD-Net: a knowledge graph syndrome differentiation network for syndrome
40909744	2025	SEA CDM: Study-Experiment-Assay Common Data Model and Databases for Cross-Domain
41422356	2025	The structure-preserving spectral graph neural network for dual kinase inhibitors
40505141	2025	Knowledge Graph-Enhanced Deep Learning Model (H-SYSTEM) for Hypertensive
41541556	2025	Prediction of interactions between the SARS-CoV-2 ORF3a protein and
41155097	2025	Disease-Specific Prediction of Missense Variant Pathogenicity with DNA Language
38886846	2025	Knowledge graphs in psychiatric research: Potential applications and future
40777357	2025	textToKnowledgeGraph: Generation of Molecular Interaction Knowledge Graphs Using
40951793	2025	MicrobiomeKG: bridging microbiome research and host health through knowledge
40057225	2025	Yeast Knowledge Graphs Database for Exploring Saccharomyces Cerevisiae and
41323648	2025	KSMoFinder-knowledge graph embedding of proteins and motifs for predicting
40114255	2025	Enriched knowledge representation in biological fields: a case study of
39952626	2025	Precision Drug Repurposing (PDR): Patient-level modeling and prediction combining
41286991	2025	scKGBERT: a knowledge-enhanced foundation model for single-cell transcriptomics.
41071612	2025	MODA: a graph convolutional network-based multi-omics integration framework for
40791355	2025	VaxKG: Integrating The Vaccine Ontology And VIOLIN For Advanced Vaccine Queries
40516453	2025	KEM-IoMT: Knowledge graph embedding-enhanced accurate medical service
41141906	2025	A Chinese question and answer system for liver cancer based on knowledge graph
41383772	2025	VaxjoGNN: A Graph Neural Network for Ontology-Grounded Vaccine Adjuvant
40011529	2025	Hypothesizing mechanistic links between microbes and disease using knowledge
41260778	2025	KG-CNNDTI: a knowledge graph-enhanced prediction model for drug-target
40854903	2025	Knowledge graph-aided Bayesian active learning for top-K genetic interaction
40987066	2025	High-quality triage and diagnosis of gynecological diseases via artificial
40918302	2025	From Patient Consultations to Graphs: Leveraging LLMs for Patient Journey
39644792	2025	CPRS: a clinical protocol recommendation system based on LLMs.
40060525	2025	Literature-scaled immunological gene set annotation using AI-powered immune cell
40776307	2025	A Knowledge Graph-Based Intelligent Q&A System for Rare Diseases.
40666834	2025	Proteomizer: Leveraging the Transcriptome-Proteome Mismatch to Infer Novel Gene
41180822	2025	Liver cancer knowledge graph construction based on dynamic entity replacement and
